2459321.9932194 18.249 0.118
2459321.99688068 18.12 0.118
2459322.01427899 18.214 0.087
2459322.02120251 18.109 0.123
2459327.99139958 18.268 0.116
2459327.99878718 18.244 0.139
2459328.00616877 18.265 0.137
2459328.00940104 18.411 0.142
2459331.96637002 18.186 0.208
2459331.96821318 18.688 0.332
2459331.97098041 19.106 0.514
2459331.97728194 18.171 0.187
2459338.05657339 18.575 0.578
2459338.05977267 18.03 0.38
2459338.10014724 18.724 0.369
2459343.99282483 18.263 0.183
2459343.99512504 18.111 0.097
2459343.9978873 18.163 0.108
2459344.0034178 18.238 0.104
2459347.95525085 17.929 0.119
2459347.95709302 18.17 0.142
2459347.95985628 18.076 0.099
2459347.96492875 18.161 0.112
2459351.97672212 17.724 0.094
2459351.97856629 17.592 0.112
2459351.98133155 17.601 0.063
2459351.98963634 17.602 0.087
2459356.06070729 18.577 0.177
2459356.06439165 18.79 0.211
2459356.07038922 18.792 0.2
2459356.08053719 18.541 0.125
2459357.92410124 18.924 0.343
2459357.92824263 18.966 0.397
2459357.93965572 18.163 0.244
2459357.95371807 18.724 0.317
2459357.95600729 19.542 0.548
2459365.99025556 19.954 0.573
2459366.01007745 19.935 0.662
2459367.96793494 19.328 0.392
2459368.00330931 19.295 0.28
2459368.00653361 20.055 0.472
2459368.01206714 19.989 0.522
2459373.97153168 19.594 0.389
2459373.97473497 19.612 0.334
2459374.00946822 19.442 0.349
2459374.01821704 18.92 0.216
2459376.93418319 19.571 0.504
2459376.94053178 19.085 0.314
2459376.94689936 19.519 0.413
2459376.95361699 18.957 0.227
2459377.8833697 19.539 0.584
2459377.88611496 19.312 0.387
2459377.88931625 19.244 0.373
2459377.90211943 19.072 0.226
2459377.90486369 19.358 0.395
2459377.90806498 19.395 0.431
2459377.94265016 19.454 0.327
2459378.88340147 19.47 0.342
2459378.88614472 19.067 0.315
2459378.88889697 19.279 0.315
2459378.89165123 19.393 0.348
2459381.89611992 19.932 0.442
2459381.89824712 19.97 0.424
2459383.89938299 19.146 0.233
2459383.90122515 19.389 0.265
2459383.90445344 19.876 0.516
2459383.9186587 19.412 0.323
2459384.89378099 18.814 0.421
2459384.89577416 19.627 0.445
2459384.89909846 19.5 0.364
2459384.91931124 20.094 0.584
2459385.84704975 19.315 0.405
2459385.8521352 19.332 0.372
2459385.85684361 19.852 0.642
2459385.86285614 19.126 0.309
2459391.96192207 19.589 0.607
2459393.97408672 19.494 0.473
2459393.97960617 19.279 0.356
2459393.99159914 19.221 0.414
2459395.92970647 19.768 0.327
2459395.93345277 20.475 0.708
2459395.94097537 19.715 0.316
2459395.95209126 19.352 0.259
2459399.88312197 20.008 0.412
2459399.91436135 19.613 0.234
2459399.9175856 20.259 0.511
2459399.92311202 19.556 0.288
2459403.92478373 19.001 0.462
2459403.92800997 18.644 0.217
2459403.93355436 20.081 0.756
2459407.94688091 19.791 0.478
2459407.96808934 17.177 0.561
2459411.87412061 20.226 0.526
2459411.87964896 20.32 0.637
2459411.91320308 19.269 0.278
2459413.81859283 19.346 0.374
2459413.83003053 19.283 0.415
2459420.89373459 19.335 0.371
2459420.90434113 19.64 0.63
2459420.91450566 19.631 0.67
2459421.92175573 19.074 0.404
2459421.92817505 19.935 0.659
2459423.91131452 19.477 0.346
2459423.91546072 19.437 0.299
2459423.92191102 19.361 0.325
2459425.8402161 19.705 0.482
2459425.84341925 19.855 0.56
2459425.84992954 19.425 0.324
2459425.86004198 19.756 0.398
2459429.8412439 19.61 0.354
2459429.84543406 20.193 0.696
2459429.85190231 19.66 0.351
2459429.86246772 19.431 0.441
2459433.8329888 19.555 0.308
2459433.85269345 19.717 0.6
2459437.82565645 19.329 0.493
2459437.83297565 20.049 0.641
2459439.81297926 19.253 0.236
2459439.8231095 19.275 0.271
2459439.8318617 19.303 0.271
2459439.83968788 19.788 0.465
2459440.83885153 19.403 0.222
2459440.84548167 19.641 0.271
2459440.85629191 19.451 0.288
2459440.85961398 19.885 0.398
2459441.79822278 19.746 0.553
2459441.80419991 19.44 0.429
2459441.81473112 19.218 0.331
2459447.84776563 19.656 0.423
2459447.85099967 19.438 0.508
2459447.87084288 19.06 0.287
2459451.81705622 19.902 0.706
2459451.82028023 19.021 0.338
2459451.82350124 19.139 0.49
2459451.82718926 19.392 0.316
2459451.83272728 19.847 0.604
2459453.84443748 19.882 0.503
2459453.85315049 19.085 0.265
2459455.78310526 19.771 0.538
2459455.78633326 19.617 0.536
2459455.79186824 19.371 0.34
2459455.79601123 19.174 0.304
2459455.79923523 18.846 0.197
2459455.80338522 19.965 0.511
2459467.79792081 19.359 0.312
2459467.80114174 19.986 0.431
2459467.80666962 19.777 0.432
2459469.76049591 19.256 0.344
2459469.76371383 19.961 0.688
2459469.76969068 19.152 0.35
2459479.75749881 19.171 0.515
2459481.7319259 19.5 0.352
2459481.73790164 19.293 0.332
2459483.75770082 19.966 0.656
2459483.76138865 19.129 0.226
2459483.76691939 19.5 0.369
2459483.77798087 19.311 0.307
2459485.75397418 19.381 0.253
2459485.75719802 19.462 0.285
2459485.76272075 20.105 0.657
2459489.72232608 19.831 0.48
2459489.72598288 19.353 0.279
2459489.73149458 20.143 0.662
2459489.74256397 19.677 0.458
2459491.73795444 20.112 0.659
2459491.74762588 19.658 0.443
2459491.75872524 18.75 0.348
2459493.72920373 19.549 0.423
2459493.73926812 20.593 0.741
2459495.7101004 19.169 0.41
